Patients,Doctors,Min Runtime,Max Runtime,Avg Runtime,Avg Pareto Solutions
30,3,0.043,0.449,0.171,4
30,5,0.168,3.138,1.022,9
30,7,0.41,5.987,2.189,14
40,3,0.074,0.432,0.2,5
40,5,0.344,6.763,1.966,11
40,7,0.647,11.643,3.45,14
50,3,0.089,0.488,0.248,5
50,5,0.367,3.356,1.35,9
50,7,0.468,24.519,4.092,15
