Patients,Doctors,Min Runtime,Max Runtime,Avg Runtime,Avg Pareto Solutions
100,8,1.411,46.592,12.527,15
100,10,0.873,13.272,5.516,20
100,12,2.751,166.423,59.589,33
110,8,1.225,54.109,14.027,19
110,10,5.538,1396.877,186.399,30
110,12,3.334,181.919,61.124,33
120,8,1.638,33.935,13.051,16
120,10,6.658,171.372,46.564,30
120,12,3.064,181.137,50.159,24
