Patients,Doctors,Min Runtime,Max Runtime,Avg Runtime,Avg Pareto Solutions
30,3,0.042,0.34,0.164,4
30,5,0.141,1.932,0.791,9
30,7,0.432,6.116,2.263,14
40,3,0.086,0.476,0.233,5
40,5,0.327,5.573,1.774,10
40,7,0.813,14.757,3.893,14
50,3,0.072,0.496,0.272,5
50,5,0.401,3.141,1.434,10
50,7,0.64,20.931,3.861,15
