Patients,Doctors,Min Runtime,Max Runtime,Avg Runtime,Avg Pareto Solutions
100,8,0.991,33.535,10.952,15
100,10,1.529,21.095,7.784,20
100,12,4.068,215.141,70.518,31
110,8,1.07,75.024,15.129,19
110,10,4.115,759.38,104.756,30
110,12,2.735,268.974,71.629,34
120,8,1.17,31.412,11.414,16
120,10,5.09,189.943,50.284,30
120,12,3.111,471.1,97.914,24
